model_name,n_seeds,simple_random_error_mean,simple_random_error_std,simple_random_prediction_mean,simple_random_prediction_std,simple_random_true_performance_mean,simple_random_true_performance_std,dataset
cohere/command-xlarge-beta,10,0.06800000000000002,0.05033366616343999,0.308,0.08255906976220118,0.3264791219881418,0.0,WikiFact
cohere/xlarge-20221108,10,0.043220386022454906,0.03327451248207218,0.29999999999999993,0.054405882034941774,0.3038980698877255,0.0,WikiFact
lmsys/vicuna-7b-v1.3,10,0.038,0.031801034997174675,0.17,0.04312771730569565,0.19439888987006435,0.0,WikiFact
microsoft/TNLGv2_530B,10,0.04325646524536395,0.02778177446212576,0.282,0.046861498055439925,0.3031411631134099,0.0,WikiFact
microsoft/TNLGv2_7B,10,0.05477204490980194,0.04044695719337943,0.21799999999999997,0.06660330322138686,0.2038602245490097,0.0,WikiFact
mosaicml/mpt-30b,10,0.06800000000000002,0.03716112633257586,0.32799999999999996,0.076,0.34313107102308565,0.0,WikiFact
openai/text-babbage-001,10,0.04008098902485178,0.021047795853603637,0.12600000000000003,0.04386342439892262,0.11479752743787057,0.0,WikiFact
openai/text-davinci-003,10,0.04102056263403557,0.02898382517873052,0.334,0.049030602688525056,0.3448971868298222,5.551115123125783e-17,WikiFact
together/bloom,10,0.05382313611706825,0.02800694377354557,0.21200000000000002,0.05455272678794343,0.1854421597073294,2.7755575615628914e-17,WikiFact
together/opt-175b,10,0.03526504352213953,0.02567642868673039,0.194,0.04294182110716778,0.1863252176106976,2.7755575615628914e-17,WikiFact
together/redpajama-incite-base-3b-v1,10,0.047320045414406466,0.028823206061592582,0.16199999999999998,0.05473572873361603,0.1533997729279677,0.0,WikiFact
writer/palmyra-x,10,0.07102787939952064,0.03905824899191954,0.338,0.07507329751649384,0.30743030150119843,0.0,WikiFact
AlephAlpha/luminous-base,10,0.05060000000000001,0.03311555525731072,0.492,0.0567097875150313,0.513,0.0,LegalSupport
ai21/j1-grande-v2-beta,10,0.07599999999999998,0.05219195340279957,0.584,0.092,0.5780000000000001,1.1102230246251565e-16,LegalSupport
ai21/j1-jumbo,10,0.04960000000000001,0.030591502087998233,0.502,0.05473572873361603,0.48200000000000004,5.551115123125783e-17,LegalSupport
ai21/j2-large,10,0.05279999999999997,0.03914281543272023,0.552,0.06462197768561403,0.564,0.0,LegalSupport
anthropic/stanford-online-all-v4-s3,10,0.0722,0.051576738943054534,0.5840000000000001,0.08708616422830896,0.601,0.0,LegalSupport
cohere/command-xlarge-beta,10,0.0462,0.04398363331967926,0.6140000000000001,0.06199999999999999,0.599,0.0,LegalSupport
cohere/xlarge-20221108,10,0.024,0.014730919862656223,0.536,0.02799999999999999,0.5389999999999999,1.1102230246251565e-16,LegalSupport
lmsys/vicuna-7b-v1.3,10,0.057600000000000005,0.02581162528784269,0.5800000000000001,0.0626099033699941,0.572,0.0,LegalSupport
microsoft/TNLGv2_530B,10,0.06200000000000001,0.05277309920783505,0.614,0.07748548251124207,0.5890000000000001,1.1102230246251565e-16,LegalSupport
microsoft/TNLGv2_7B,10,0.052000000000000005,0.03287856444554719,0.504,0.06053098380168622,0.49300000000000005,5.551115123125783e-17,LegalSupport
mosaicml/mpt-30b,10,0.039999999999999994,0.022360679774997887,0.558,0.0451220566907139,0.55,0.0,LegalSupport
openai/text-babbage-001,10,0.04340000000000001,0.03233326460473795,0.5000000000000001,0.05138093031466052,0.5170000000000001,1.1102230246251565e-16,LegalSupport
